ID;Please select your age range.;Please select your gender.;What type of secondary school did you attend?;What is your average matric result?;Please select what type of student are you at Eduvos;Which faculty are you in at Eduvos?;What is your current grade average? (The current average of the program you are enrolled in).;How many hours do you study every week on average?;Do you have access to the following? Please select all that applies to you .);Has online learning had an impact on your ability to study?
159;21-23 years;Other;Private;80-89%;Full-time student;Arts and Humanities;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
160;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;Below 40%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
161;17-20 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
162;21-23 years;Female;State/Public;50-59%;Full-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
163;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
164;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
165;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;60-69%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
166;17-20 years;Male;State/Public;70-79%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
167;17-20 years;Female;State/Public;80-89%;Full-time student;Commerce and Law;70-79%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
168;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
169;17-20 years;Female;State/Public;70-79%;Full-time student;Information Technology;70-79%;20 - 30 hours weekly;"Electricity at your place of study;";No
170;17-20 years;Female;Specialized School (The National School of the Arts);70-79%;Full-time student;Arts and Humanities;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
171;21-23 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
172;17-20 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;10 - 20 hours weekly;"Access to the internet to help you with your studies.;";Yes
173;17-20 years;Female;State/Public;60-69%;Full-time student;Commerce and Law;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
174;21-23 years;Female;Private;70-79%;Full-time student;Psychology and English ;50-59%;10 - 20 hours weekly;"Electricity at your place of study;";Yes
175;17-20 years;Female;Private;70-79%;Full-time student;Commerce and Law;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
176;17-20 years;Female;Private;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;";No
177;17-20 years;Female;State/Public;70-79%;Part-time student;Commerce and Law;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
178;26 +;Female;State/Public;50-59%;Full-time student;Arts and Humanities;70-79%;1 - 10 hours weekly;"Electricity at your place of study;A location or place where you may study;";Yes
179;;;;;;;;;;
180;17-20 years;Male;State/Public;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
181;17-20 years;Female;State/Public;70-79%;Full-time student;Arts and Humanities;60-69%;30+ hours weekly;"A location or place where you may study;Electricity at your place of study;Access to the internet to help you with your studies.;";Yes
182;21-23 years;Male;State/Public;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
183;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;70-79%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
184;17-20 years;Female;State/Public;70-79%;Full-time student;Commerce and Law;80-89%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
185;21-23 years;Female;State/Public;60-69%;Full-time student;Arts and Humanities;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
186;21-23 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;Below 40%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;";Yes
187;21-23 years;Female;State/Public;60-69%;Full-time student;Information Technology;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
188;17-20 years;Female;Private;70-79%;Full-time student;Arts and Humanities;80-89%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
189;17-20 years;Female;Private;60-69%;Full-time student;Information Technology;80-89%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
190;21-23 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;70-79%;20 - 30 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
191;17-20 years;Female;State/Public;60-69%;Full-time student;Applied Sciences;60-69%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
192;21-23 years;Female;State/Public;50-59%;Full-time student;Information Technology;70-79%;30+ hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";Yes
193;17-20 years;Male;Private;60-69%;Full-time student;Information Technology;50-59%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
194;21-23 years;Male;State/Public;70-79%;Full-time student;Information Technology;90-100%;10 - 20 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
195;21-23 years;Female;Private;50-59%;Full-time student;Commerce and Law;60-69%;1 - 10 hours weekly;"Electricity at your place of study;Access to the internet to help you with your studies.;A location or place where you may study;";No
196;21-23 years;Female;State/Public;50-59%;Full-time student;Applied Sciences;50-59%;1 - 10 hours weekly;"Access to the internet to help you with your studies.;Electricity at your place of study;A location or place where you may study;";Yes
